Date and Time	Latitude of location reported by game	Longitude of location reported by game
2023-12-08T06:33:34.463Z	52.336629	14.543852
2023-12-08T06:44:46.120Z	0	0
2023-12-08T06:44:52.516Z	0	0
2023-12-08T06:45:23.345Z	0	0
2023-12-08T06:45:53.780Z	0	0
2023-12-08T06:45:58.997Z	0	0
2023-12-08T06:46:05.299Z	0	0
2023-12-08T06:46:36.302Z	0	0
2023-12-08T06:47:07.038Z	0	0
2023-12-08T06:47:37.445Z	0	0
2023-12-08T06:48:07.488Z	0	0
2023-12-08T06:48:37.532Z	0	0
2023-12-08T06:50:14.048Z	0	0
2023-12-08T06:50:58.407Z	0	0
2023-12-08T06:51:03.427Z	0	0
2023-12-08T06:51:33.570Z	0	0
2023-12-08T06:52:04.945Z	0	0
2023-12-08T06:52:35.016Z	0	0
2023-12-08T06:53:16.310Z	0	0
2023-12-08T06:54:11.028Z	0	0
2023-12-08T06:54:25.134Z	0	0
2023-12-08T06:55:31.095Z	0	0
2023-12-08T06:55:47.500Z	0	0
2023-12-08T06:55:53.229Z	0	0
2023-12-08T06:56:52.356Z	0	0
2023-12-08T06:57:22.886Z	52.335356	14.538685
2023-12-08T06:57:23.024Z	52.335356	14.538685
2023-12-08T06:58:02.164Z	0	0
2023-12-08T06:58:07.122Z	0	0
2023-12-08T07:00:45.604Z	0	0
2023-12-08T07:00:50.114Z	0	0
2023-12-08T07:00:55.068Z	0	0
2023-12-08T07:02:01.074Z	0	0
2023-12-08T07:03:07.050Z	0	0
2023-12-08T07:03:12.200Z	0	0
2023-12-08T07:06:09.084Z	0	0
2023-12-08T07:06:14.047Z	0	0
2023-12-08T07:07:19.482Z	0	0
2023-12-08T07:08:25.485Z	0	0
2023-12-08T07:11:11.904Z	0	0
2023-12-08T07:11:16.921Z	0	0
2023-12-08T07:12:22.952Z	0	0
2023-12-08T07:13:29.030Z	0	0
2023-12-08T07:16:37.491Z	0	0
2023-12-08T07:16:42.447Z	0	0
2023-12-08T07:17:12.436Z	0	0
2023-12-08T07:17:43.889Z	0	0
2023-12-08T07:17:52.676Z	52.335172	14.539037
2023-12-08T07:17:56.163Z	52.335356	14.538685
2023-12-08T07:18:03.078Z	52.335547	14.539401
2023-12-08T07:18:05.018Z	52.335547	14.539401
2023-12-08T07:18:13.835Z	0	0
2023-12-08T07:18:58.511Z	0	0
2023-12-08T07:23:14.014Z	0	0
2023-12-08T07:23:19.044Z	0	0
2023-12-08T07:24:25.551Z	0	0
2023-12-08T07:24:30.546Z	0	0
2023-12-08T07:24:35.159Z	0	0
2023-12-08T07:27:22.061Z	0	0
2023-12-08T07:28:38.565Z	0	0
2023-12-08T07:28:43.798Z	0	0
2023-12-08T07:29:28.431Z	0	0
2023-12-08T07:29:33.476Z	0	0
2023-12-08T07:29:38.426Z	0	0
2023-12-08T07:32:52.871Z	0	0
2023-12-08T07:37:16.076Z	0	0
2023-12-08T07:37:20.618Z	0	0
2023-12-08T07:37:25.660Z	0	0
2023-12-08T07:37:30.322Z	0	0
2023-12-08T07:38:15.486Z	0	0
2023-12-08T07:38:45.942Z	0	0
2023-12-08T07:39:15.422Z	0	0
2023-12-08T07:39:46.046Z	0	0
2023-12-08T07:40:16.987Z	0	0
2023-12-08T07:40:46.940Z	0	0
2023-12-08T07:41:25.751Z	0	0
2023-12-08T07:41:56.959Z	0	0
2023-12-08T07:42:26.946Z	0	0
2023-12-08T07:42:57.472Z	0	0
2023-12-08T07:43:36.569Z	0	0
2023-12-08T07:44:06.514Z	0	0
2023-12-08T07:44:44.501Z	0	0
2023-12-08T07:45:15.134Z	0	0
2023-12-08T07:45:45.211Z	0	0
2023-12-08T07:46:05.368Z	0	0
2023-12-08T07:46:19.560Z	0	0
2023-12-08T07:46:53.682Z	52.335547	14.539401
2023-12-08T07:46:55.859Z	52.335269	14.54002
2023-12-08T07:47:20.229Z	52.335873	14.53901
2023-12-08T07:47:22.670Z	52.336315	14.539124
2023-12-08T07:47:22.837Z	0	0
2023-12-08T07:47:34.340Z	0	0
2023-12-08T07:48:27.788Z	52.337012	14.539325
2023-12-08T07:49:00.353Z	0	0
2023-12-08T07:49:12.094Z	0	0
2023-12-08T07:49:22.719Z	0	0
2023-12-08T07:49:29.243Z	0	0
2023-12-08T07:49:59.724Z	0	0
2023-12-08T07:51:05.710Z	0	0
2023-12-08T08:10:55.216Z	0	0
2023-12-08T08:11:00.346Z	0	0
2023-12-08T08:11:04.909Z	0	0
2023-12-08T08:11:09.740Z	0	0
2023-12-08T08:16:04.940Z	0	0
2023-12-08T08:16:10.144Z	0	0
2023-12-08T08:16:15.409Z	0	0
2023-12-08T08:16:22.095Z	0	0
2023-12-08T08:16:53.025Z	0	0
2023-12-08T08:17:22.589Z	0	0
2023-12-08T08:18:00.701Z	0	0
2023-12-08T08:18:40.205Z	0	0
2023-12-08T08:19:20.441Z	0	0
