Adjusted..in.million.USD.,Original..in.million.USD.,Painting,Image,Artist,Year,Date.of.sale,Rankat.sale,Seller,Buyer,Auction.house
$559.7,$450.3,Salvator Mundi,NA,Leonardo da Vinci,c. 1500,"November 15, 2017",1,Dmitry Rybolovlev,Badr bin Abdullah Al Saud[note 2],"Christie's, New York[20]"
~$386,~$300,Interchange,NA,Willem de Kooning,1955,September 2015,1,David Geffen Foundation,Kenneth C. Griffin,Private sale[21]
$339 +,$250 +[note 3],The Card Players,NA,Paul Cézanne,1892/93,April 2011,1,George Embiricos,State of Qatar,Private sale[22][23][24]
$270,$210[25],Nafea Faa Ipoipo(When Will You Marry?),NA,Paul Gauguin,1892,September 2014,2,Rudolf Staechelin heirs,State of Qatar,Private sale[26]
~$257,~$200,Number 17A,NA,Jackson Pollock,1948,September 2015,4,David Geffen Foundation,Kenneth C. Griffin,Private sale[21]
$240.4,$183.8,Wasserschlangen II,NA,Gustav Klimt,1904–07,2013,2,Yves Bouvier,Dmitry Rybolovlev,Private sale [note 4]
$239,$186(€140),"No. 6 (Violet, Green and Red)",NA,Mark Rothko,1951,August 2014,3,Cherise Moueix,Dmitry Rybolovlev,Private sale viaYves Bouvier[29]
$231,$180(€160 million),Pendant portraits of Maerten Soolmans and Oopjen Coppit,NA,Rembrandt,1634,"February 1, 2016[30]",7,Éric de Rothschild,Rijksmuseumand Louvre,Private sale[31]
$230.6,$179.4,"Les Femmes d'Alger(""Version O"")",NA,Pablo Picasso,1955,"May 11, 2015",5,Private collection,Hamad bin Jassim bin Jaber Al Thani[citation needed],"Christie's, New York[32]"
$222.6,$198(€175),The Standard Bearer,NA,Rembrandt,1636,February 2022,10,Rothschild family,Rijksmuseum,private sale[33][34]
$195,$195,Shot Sage Blue Marilyn,NA,Andy Warhol,1964,"May 9, 2022",11,Thomas and Doris Ammann,Larry Gagosian,"Christie's, New York[35]"
$219,$170.4,Nu couché,NA,Amedeo Modigliani,1917/18,"November 9, 2015",9,Laura Mattioli Rossi,Liu Yiqian[36],"Christie's, New York[37]"
$211.6,$140,"No. 5, 1948",NA,Jackson Pollock,1948,"November 2, 2006",1,David Geffen,David Martinez,Private sale via Sotheby's[38]
